epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
117,4994.09,0.56821,0.25117,0.00447,0.95344,0.93671,0.9633,0.88653,0.42985,0.36108,0.00364,0.0004688,0.0004688,0.0004688
118,5048.39,0.57942,0.26375,0.00457,0.96128,0.94276,0.95743,0.87204,0.45797,0.36137,0.00386,0.0004556,0.0004556,0.0004556
119,5106.18,0.57738,0.25482,0.00446,0.94922,0.94648,0.95562,0.87133,0.47059,0.37711,0.00378,0.0004424,0.0004424,0.0004424
120,5161.59,0.55664,0.24668,0.00421,0.94976,0.95727,0.95672,0.886,0.43651,0.37304,0.00348,0.0004292,0.0004292,0.0004292
121,5207.51,0.54294,0.24019,0.00435,0.94709,0.94937,0.95662,0.88501,0.4358,0.37872,0.00352,0.000416,0.000416,0.000416
122,5255.77,0.5388,0.2358,0.00434,0.95256,0.93671,0.95682,0.88768,0.42668,0.40152,0.00349,0.0004028,0.0004028,0.0004028
123,5302.8,0.5575,0.2511,0.0044,0.92838,0.94937,0.95346,0.8814,0.42223,0.38587,0.00342,0.0003896,0.0003896,0.0003896
124,5348.69,0.56657,0.25164,0.00458,0.94905,0.94307,0.95283,0.88358,0.43189,0.371,0.00351,0.0003764,0.0003764,0.0003764
125,5390.76,0.53199,0.24206,0.00434,0.94894,0.94096,0.95458,0.88528,0.41716,0.37569,0.00333,0.0003632,0.0003632,0.0003632
126,5433.77,0.53514,0.24765,0.00454,0.94313,0.94471,0.95773,0.89228,0.4171,0.3653,0.00331,0.00035,0.00035,0.00035
127,5493.82,0.54191,0.24916,0.00423,0.95362,0.9557,0.95001,0.8822,0.42231,0.37367,0.00317,0.0003368,0.0003368,0.0003368
128,5543.12,0.55047,0.24915,0.00419,0.96683,0.94937,0.95775,0.89128,0.41322,0.35557,0.00317,0.0003236,0.0003236,0.0003236
129,5583.98,0.53913,0.24219,0.0043,0.96792,0.9547,0.95669,0.89218,0.4179,0.35811,0.00323,0.0003104,0.0003104,0.0003104
130,5625.07,0.50325,0.23747,0.00435,0.95894,0.9557,0.95794,0.8952,0.40989,0.35638,0.00311,0.0002972,0.0002972,0.0002972
131,5671.41,0.55634,0.24718,0.00432,0.9612,0.94076,0.9648,0.89517,0.42455,0.34361,0.00329,0.000284,0.000284,0.000284
