epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
72,16262.5,0.37679,0.2725,0.00544,0.96757,0.90622,0.95122,0.90931,0.19865,0.16138,0.00548,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,16431.1,0.39511,0.28679,0.00567,0.96824,0.89864,0.94936,0.90491,0.20092,0.1635,0.00548,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,16599.8,0.38734,0.2847,0.00551,0.96967,0.90836,0.95161,0.9077,0.1953,0.15838,0.00531,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,16768.3,0.38325,0.27398,0.00541,0.97184,0.90997,0.95346,0.90868,0.19461,0.1536,0.00528,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,16936.8,0.38836,0.27435,0.00547,0.96059,0.91908,0.95298,0.90974,0.19497,0.14955,0.0053,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,17105.3,0.38294,0.27511,0.00535,0.95984,0.92229,0.95385,0.91072,0.194,0.14449,0.00531,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,17273.9,0.37797,0.26674,0.00536,0.9652,0.92161,0.95437,0.91262,0.19013,0.15088,0.00517,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,17442.5,0.37443,0.26893,0.00529,0.97271,0.90943,0.95417,0.91217,0.18928,0.15121,0.00515,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,17610.9,0.36992,0.2608,0.00532,0.9638,0.91854,0.955,0.91288,0.18726,0.15145,0.00506,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,17779.6,0.37433,0.26314,0.00525,0.96682,0.92069,0.95603,0.91314,0.18636,0.1425,0.00501,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,17948.3,0.36577,0.25182,0.00517,0.96944,0.91533,0.95399,0.91186,0.18722,0.1433,0.00503,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,18116.9,0.37559,0.26118,0.00519,0.9711,0.91842,0.95295,0.91336,0.18405,0.13937,0.00492,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,18285.6,0.37155,0.26372,0.00513,0.97221,0.91693,0.95264,0.91305,0.18391,0.1418,0.00492,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,18454.1,0.36897,0.25784,0.0052,0.96854,0.91158,0.95259,0.91305,0.18642,0.14141,0.00502,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,18622.7,0.36805,0.26293,0.00514,0.95659,0.92113,0.95239,0.91288,0.18573,0.14338,0.00499,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,18791.1,0.34933,0.24419,0.00498,0.96298,0.92011,0.95266,0.91123,0.18614,0.14193,0.00499,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,18959.6,0.35773,0.25059,0.00499,0.96406,0.92,0.95282,0.91287,0.18367,0.14305,0.00492,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,19129.4,0.35788,0.2455,0.00503,0.96841,0.91988,0.95388,0.91292,0.18382,0.1431,0.00496,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,19300,0.35949,0.24517,0.00503,0.96413,0.92186,0.95299,0.91249,0.18389,0.14005,0.00496,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,19470.4,0.35425,0.24072,0.00491,0.97276,0.91693,0.9517,0.9135,0.18447,0.1405,0.00497,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,19640.8,0.35127,0.23325,0.00482,0.96819,0.91854,0.95231,0.91399,0.18173,0.13975,0.00486,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,19811.4,0.34328,0.23037,0.00481,0.96581,0.92176,0.95173,0.91211,0.17835,0.14252,0.00474,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,19981.7,0.35008,0.23353,0.00484,0.96237,0.92444,0.95246,0.91209,0.17662,0.13605,0.00464,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,20150.8,0.33735,0.23192,0.00469,0.96613,0.92444,0.95329,0.91267,0.17682,0.13468,0.00462,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,20319.8,0.3458,0.23163,0.00481,0.96671,0.91827,0.95312,0.91275,0.17643,0.1364,0.00461,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,20488.8,0.34059,0.22872,0.00469,0.96947,0.91897,0.95285,0.91263,0.17622,0.13528,0.0046,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,20657.8,0.34101,0.23394,0.00467,0.9719,0.91747,0.95335,0.91143,0.17526,0.13615,0.00454,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,20826.8,0.33061,0.2205,0.00452,0.96901,0.9217,0.95276,0.91137,0.17596,0.13232,0.00454,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,20995.9,0.33136,0.21764,0.00454,0.96727,0.91865,0.95213,0.9108,0.1762,0.13468,0.00455,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,21164.9,0.33659,0.22293,0.00456,0.96422,0.92337,0.94859,0.9105,0.17586,0.13702,0.00454,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,21333.9,0.32865,0.21732,0.00447,0.96979,0.92015,0.94847,0.90988,0.17674,0.14244,0.00457,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
103,21502.9,0.32737,0.21657,0.00446,0.96625,0.92015,0.94817,0.90987,0.17728,0.14367,0.00457,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
104,21671.8,0.32575,0.22234,0.00447,0.96615,0.92122,0.95171,0.91009,0.17701,0.1437,0.00456,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202,0.009606,0.003202
105,21841,0.3233,0.21544,0.00439,0.96582,0.92283,0.95306,0.90986,0.17794,0.13922,0.00459,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136,0.009408,0.003136
106,22009.9,0.3139,0.20585,0.00424,0.96799,0.92362,0.95315,0.91021,0.17821,0.13774,0.0046,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
107,22194,0.32675,0.22351,0.00444,0.96901,0.92177,0.94903,0.90955,0.17801,0.13927,0.0046,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004,0.009012,0.003004
108,22363,0.31131,0.20248,0.00422,0.97008,0.92077,0.94878,0.90896,0.17922,0.14267,0.00464,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938,0.008814,0.002938
109,22545.4,0.3121,0.20975,0.00427,0.96746,0.92444,0.94893,0.90928,0.17693,0.13971,0.00455,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
110,22714.3,0.3086,0.20166,0.00418,0.96903,0.92225,0.94909,0.90966,0.17635,0.13897,0.00454,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806,0.008418,0.002806
111,22883.3,0.30903,0.20623,0.0042,0.97171,0.92052,0.9487,0.90912,0.17548,0.1389,0.0045,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274,0.00822,0.00274
112,23052.2,0.31016,0.20572,0.00417,0.9744,0.92122,0.94906,0.90911,0.17526,0.13481,0.00449,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
113,23221.4,0.30658,0.20359,0.00408,0.97278,0.91941,0.94861,0.90905,0.17509,0.1397,0.00448,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608,0.007824,0.002608
114,23390.3,0.30022,0.19716,0.00399,0.97337,0.92069,0.94859,0.90921,0.17525,0.13699,0.00449,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542,0.007626,0.002542
