epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
73,612.53,0.57431,0.27864,0.00863,0.94204,0.97426,0.9708,0.76149,0.85609,0.35458,0.02209,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,732.833,0.56655,0.26363,0.00855,0.94865,0.95634,0.97232,0.76874,0.84477,0.3824,0.02142,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,853.132,0.56475,0.26063,0.00856,0.95374,0.95095,0.97045,0.7675,0.85757,0.38305,0.02235,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,973.405,0.56668,0.25571,0.0084,0.95883,0.95181,0.97528,0.76912,0.85704,0.36647,0.0218,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,1093.43,0.5591,0.25547,0.00842,0.95113,0.95462,0.97535,0.76344,0.881,0.38685,0.02245,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,1213.53,0.56969,0.25728,0.00847,0.95434,0.9564,0.9709,0.7547,0.88862,0.3696,0.02331,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,1333.38,0.5636,0.26109,0.0084,0.94874,0.95814,0.97267,0.75559,0.88659,0.37585,0.02307,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,1453.28,0.56052,0.25442,0.0083,0.95377,0.97548,0.97464,0.7624,0.88089,0.36217,0.02301,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,1573.39,0.55768,0.25049,0.00839,0.96078,0.95913,0.97545,0.76308,0.90713,0.37473,0.0241,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,1693.38,0.55875,0.25029,0.00839,0.95182,0.96893,0.97499,0.76608,0.87897,0.36028,0.02236,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,1813.23,0.55174,0.25523,0.00834,0.95655,0.95975,0.97544,0.76637,0.90008,0.36895,0.02396,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,1933.07,0.54883,0.24945,0.00817,0.95119,0.95576,0.97367,0.76102,0.91938,0.38955,0.02483,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,2053.04,0.55212,0.2498,0.0082,0.95501,0.97003,0.97334,0.76752,0.88451,0.35335,0.02339,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
